Brand,Model,Battery,€/km of range*,0 - 100,Top Speed,Range*,Efficiency*,Fastcharge*,Price in Germany before incentives,Price in The Netherlands before incentives,Price in the United Kingdom after incentives,Approx. in USD based on source,Drive_Configuration
HYUNDAI,IONIQ 6 Standard Range 2WD,54,123,8.8,185,365,148,900,"43,900","45,895",N/A,"25,639",Rear Wheel Drive
MAXUS,MIFA 9,84,197,9.2,180,365,230,420,"68,990",N/A,"65,290","81,351",Front Wheel Drive
BMW,iX2 xDrive30,64.7,160,5.6,180,380,170,510,"56,500","59,350","57,445","71,576",All Wheel Drive
LEXUS,RZ 450e,64,218,5.6,160,320,200,480,"68,000","67,495","64,500","80,367",All Wheel Drive
LANCIA,Ypsilon,48.1,131,8.5,150,305,158,470,"40,000","40,000",N/A,"22,346",Front Wheel Drive
FORD,Mustang Mach-E ER RWD,91,126,7.0,180,480,190,420,"58,500","54,400","59,830","74,548",Rear Wheel Drive
ZEEKR,X Privilege AWD,64,143,3.8,180,345,186,580,"50,470","48,490",N/A,"27,089",All Wheel Drive
BYD,DOLPHIN 44.9 kWh Active,44.9,115,10.0,150,255,176,260,"28,000","29,990","26,000","32,396",Front Wheel Drive
RENAULT,Twingo Electric,21.3,207,12.6,135,135,158,-,"28,000",N/A,N/A,"29,680",Rear Wheel Drive
MERCEDES-BENZ,EQE 350+,90.6,155,6.4,210,530,171,790,N/A,"82,028",N/A,"45,825",Rear Wheel Drive
TOYOTA,bZ4X AWD,64,181,6.9,160,315,203,470,"57,390","52,995","52,510","65,427",All Wheel Drive
